date,Q1,Q2,Q3,Q4,Q5
194410,1.01,-0.07,-0.33,-0.36,0.33
194411,3.55,2.21,2,2.52,1.57
194412,8.43,8.13,6.86,5.68,3.49
194501,5.17,4.79,3.99,2.86,1.55
194502,10.45,9.04,8.02,8.31,5.66
194503,-8.91,-4.95,-5.73,-4.37,-3.51
194504,8.83,9.32,9.35,9.16,7.42
194505,3.91,3.18,2.4,1.97,1.65
194506,8.59,3.39,3.48,2.31,-0.46
194507,-3.86,-3.91,-4.05,-3.24,-1.75
194508,6.65,6.47,6.9,6.71,6.02
194509,6.42,6.85,6.54,6.51,4.29
194510,11.6,5.32,5.51,5.63,3.41
194511,11.99,10.58,8.9,10.14,4.05
194512,2.7,4.18,2.01,1.83,0.75
194601,15.23,9.16,8.11,7.78,5.54
194602,-7.13,-6.81,-6.87,-6.2,-5.4
194603,3.62,5.98,7.48,7.56,5.73
194604,8.72,6.67,4.89,5.03,4.02
194605,4.68,6.17,6.21,5.84,3.33
194606,-5.26,-5.35,-5.72,-5.55,-3.4
194607,-5.31,-5,-4.03,-3.92,-2.08
194608,-8.69,-8.4,-7.69,-6.77,-6.05
194609,-16.63,-14.53,-12.96,-12.29,-8.92
194610,-1.65,-1.21,-1.05,-1.8,-1.47
194611,-1.12,-0.3,0.08,0.1,0.06
194612,3.61,5.38,5.42,5.27,5.02
194701,4.9,3.58,2.14,1.13,1.36
194702,-0.27,-0.27,-0.58,-0.94,-1.21
194703,-3.72,-3.49,-2.55,-1.94,-1.37
194704,-10.15,-8.04,-7.56,-7.37,-3.83
194705,-5.92,-4.36,-3.11,-3.35,-0.24
194706,5.78,5.48,4.8,6.42,5.2
194707,7.67,6.54,6.5,5.86,3.57
194708,-2.59,-1.49,-1.16,-1.62,-1.79
194709,1.11,1.03,0.6,0.52,-0.74
194710,4.25,3.61,3.36,2.24,2.41
194711,-3.29,-3.59,-2.71,-2.82,-1.52
194712,1.88,1.41,2.07,2.77,3.21
194801,-0.26,-1.67,-2.65,-2.33,-4.24
194802,-7.13,-6.55,-6.12,-5.28,-3.92
194803,10.78,8.8,9.7,9.87,7.75
194804,4.24,3.4,3.02,5.04,3.45
194805,9.23,8.99,9.01,7.5,7.31
194806,-0.82,-0.56,-1.9,-1.38,0.41
194807,-5.73,-4.78,-5.29,-4.85,-5.03
194808,-1.47,-0.56,0.41,0.35,0.4
194809,-5.13,-3.59,-4.44,-4.34,-2.5
194810,4.87,4.89,4.89,5.71,6.16
194811,-11.84,-10.41,-10.12,-10.35,-8.77
194812,-0.95,0.48,1.87,2.63,3.63
194901,3.6,1.56,0.41,1.64,0.04
194902,-4.6,-5.29,-3.73,-2.65,-2.8
194903,6.89,6.09,6.3,4.8,3.77
194904,-2.92,-3.43,-3.47,-3.05,-1.37
194905,-6.58,-4,-3.58,-2.49,-2.63
194906,-0.88,-1.35,-1.54,-0.24,0.59
194907,5.96,6.62,6.61,6.36,5.35
194908,2.46,2.41,2.91,2.34,2.72
194909,4.2,4.81,4.32,4.34,2.82
194910,5.66,3.84,3.64,2.66,3.18
194911,-0.94,0.8,1.1,2.09,2.06
194912,7.77,7.27,8.04,6.08,4.76
195001,6.19,4.38,4.5,2.38,1.28
195002,2.54,2.09,0.81,1.58,1.47
195003,-0.03,-0.38,-0.33,0.64,1.59
195004,6.37,6.02,5.69,3.55,3.98
195005,2.4,3.02,2.32,3.59,4.75
195006,-10.13,-8.16,-7.25,-7.45,-5.3
195007,8.94,6.47,4.34,3.26,0.73
195008,4.92,4.46,5.27,4.3,5.01
195009,3.83,5.69,5.87,6.05,4.62
195010,-0.4,0.37,-0.46,-1.24,0.17
195011,3.34,3.37,3.17,3.67,2.63
195012,12.85,10.04,7.53,6.86,5.05
195101,8.67,8.12,8.08,7.09,5.29
195102,0.53,1.1,0.94,1.54,1.67
195103,-5.26,-3.65,-3.79,-3.21,-1.61
195104,4.01,4.2,4.43,4.71,5.07
195105,-3.87,-3.2,-2.21,-2.15,-2.23
195106,-6.56,-5.7,-6.01,-3.9,-1.87
195107,4.34,6.32,5.91,7.49,7.1
195108,6.08,4.97,4.94,3.67,4.45
195109,2.38,3.36,2.2,2.38,0.39
195110,-2.46,-2.97,-2.27,-2.54,-2.33
195111,-0.56,0.53,1.01,1.69,0.5
195112,0.39,1.08,0.71,2.22,3.92
195201,1.47,1.77,1.52,1.71,1.6
195202,-2.95,-2.04,-1.83,-1.66,-2.69
195203,2.1,2.63,2.75,3.66,4.9
195204,-4.4,-4.63,-4.11,-4.85,-4.88
195205,1.42,2.37,2.52,2.81,3.52
195206,3.06,2.82,2.98,3.45,4.17
195207,1.19,0.94,1.16,1.16,1.05
195208,0.07,0.51,0.16,0.02,-0.79
195209,-1.25,-1.65,-1.45,-1.59,-1.94
195210,-1.05,-1.7,-0.94,-0.91,-0.41
195211,4.49,5.52,6.03,5.55,6.09
195212,1.21,3,1.9,2.63,3.28
195301,4.12,3.62,2.4,1.39,-0.73
195302,3.34,1.28,1.09,0.75,-0.43
195303,-1.79,-1.77,-0.94,-1.05,-1.37
195304,-2,-1.78,-2.2,-2.35,-2.76
195305,0.95,0.5,0.53,0.66,0.76
195306,-4.43,-3.53,-3.1,-2.95,-1.38
195307,1.67,1.3,1.82,1.52,2.83
195308,-5.9,-5.52,-5.22,-4.68,-4.19
195309,-2.55,-1.07,-1.04,-0.32,0.65
195310,2.32,3.42,4.29,4.4,4.81
195311,1.91,1.67,1.91,3,2.97
195312,-2.81,-1.83,-1.01,-0.32,0.4
195401,7.79,6.82,7,5.93,4.93
195402,0.31,1.58,1.83,2.09,1.67
195403,2.9,2.71,2.77,3.87,3.8
195404,0.95,0.97,2.17,1.98,5
195405,4.5,4.33,3.77,4.26,2.89
195406,1.19,1.52,1.81,1.95,0.95
195407,10.11,6.98,6.6,6.49,4.6
195408,-0.2,0.36,-1.22,-1.62,-2.54
195409,3.81,4.42,4.18,4.91,6.93
195410,-0.17,-1.03,-0.37,-0.5,-1.87
195411,8.17,8.9,10.07,9.78,9.38
195412,11.88,9.79,8.94,5.87,5.12
195501,3.58,0.91,2.27,0.54,0.56
195502,5.83,3.9,4.96,3.81,2.77
195503,-0.13,0.31,0.56,-0.65,-0.05
195504,2.03,1.82,1.86,2.37,3.53
195505,0.76,0.23,0.49,1.35,1.13
195506,3.91,3.02,2.52,4.84,7.41
195507,1.65,0.78,0.15,0.38,2.39
195508,-0.17,0.13,1.04,0.87,0.3
195509,0.65,-1.2,-0.89,-1.46,0.06
195510,-1.67,-1.13,-1.26,-2.02,-2.65
195511,3.55,5.37,6.04,6.55,7.41
195512,2.46,1.9,2.69,1.94,1.54
195601,-1.09,-1.71,-2.86,-3.13,-2.8
195602,2.71,3.49,3.18,3.87,4.08
195603,4.77,4.44,5.39,5.55,7.12
195604,0.35,0.55,0.51,0.81,0.46
195605,-3.72,-4.31,-3.47,-3.77,-5.23
195606,0.47,1.86,3.25,2.63,3.91
195607,2.67,3.55,3.99,4.67,5.22
195608,-1.08,-1.32,-1.38,-2.61,-3.29
195609,-2.28,-2.4,-3.53,-4.03,-5.26
195610,0.34,0.63,0.78,0.79,0.77
195611,0.3,1.13,0.87,0.79,0.5
195612,1.08,3.16,2.34,3.04,3.56
195701,2.3,1.04,0,-1.04,-4.04
195702,-2.05,-2.49,-2.73,-1.77,-1.77
195703,1.81,1.95,2.43,2.53,2.33
195704,2.67,2.58,2.03,3.02,4.96
195705,0.28,2.11,2.5,2.27,4.07
195706,1.03,-0.17,-1.14,-1.97,-0.33
195707,0.53,0.75,0.55,0.32,1.07
195708,-3.79,-4.87,-5.17,-5.86,-4.7
195709,-4.4,-5.09,-5.6,-4.98,-5.87
195710,-8.21,-7.02,-6.41,-4.87,-3.62
195711,0.82,0.52,3.02,3.04,2.52
195712,-5.28,-5,-4.61,-3.31,-3.63
195801,12.88,11.31,9.94,8.69,3.97
195802,-1.58,0.22,-0.5,-0.75,-1.61
195803,3.58,3.22,3.8,3.67,3.3
195804,3.46,3.48,2.03,3.29,3.23
195805,4.08,3.98,4.75,2.8,2.14
195806,3.09,2.88,2.71,2.99,3
195807,5.82,5.08,6.52,4.76,4.27
195808,3.5,3.06,3.52,2.9,1.66
195809,5.99,6.03,4.9,4.74,4.82
195810,2.81,4.25,3.51,3.11,2.61
195811,5.01,5.35,3.32,4.72,2.79
195812,3.4,4.03,3.24,4.09,5.71
195901,7.78,5.06,4,2.09,0.38
195902,3.41,3.23,3.5,3.04,0.64
195903,1.52,2.27,0.89,0.82,0.39
195904,2.23,3.09,3.74,3.38,4.02
195905,2.19,-0.5,1.08,1.05,2.26
195906,0.52,0.7,1.45,1.22,-0.26
195907,2.53,3.43,3.4,2.42,3.56
195908,-0.47,-1.83,-0.89,-1.9,-1.1
195909,-4.47,-4.23,-4.4,-4.86,-4.44
195910,1.72,2.44,2.8,3.06,1.22
195911,0.52,2.18,1.14,2.64,1.76
195912,2.88,2.69,2.21,1.06,3.12
196001,-1.56,-4.06,-4.86,-5.16,-7.11
196002,0.35,1.64,0.51,1.89,1.41
196003,-2.82,-2.92,-2.63,-2.12,-1.02
196004,-2.24,-1.9,-2.34,-1.12,-1.57
196005,0.6,3.31,3.04,2.19,3.39
196006,2.23,1.99,2.58,2.57,2.33
196007,-1.5,-2.03,-1.77,-1.6,-2.37
196008,5.23,3.63,3.94,3.15,3.11
196009,-5.98,-6.41,-5.89,-5.44,-5.85
196010,-2.72,-2.48,-2.83,-1.49,-0.11
196011,1.56,4.37,6,5.83,4.64
196012,2.53,3.24,3.53,4.87,5
196101,8.57,8.43,8.61,8.08,5.97
196102,6.33,7.51,6.25,5.54,3.12
196103,7.09,6.06,4.83,4.8,2.55
196104,1.19,2.5,-0.04,0.21,0.44
196105,3.93,4.08,4.87,3.5,2.25
196106,-5.52,-4.85,-4.65,-3.32,-2.54
196107,0.16,0.63,1.22,1.86,3.41
196108,0.88,1.37,1.05,3.84,2.67
196109,-3.55,-3.62,-2.46,-2.67,-1.77
196110,2.2,1.24,2.19,2.75,2.86
196111,5.43,5.91,4.85,3.85,4.71
196112,0.38,-0.55,-0.38,-1.57,0.29
196201,1.86,-0.09,-2.27,-2.39,-4.01
196202,1.72,1.35,1.38,1.61,2.12
196203,0.59,-0.76,-0.56,-1.19,-0.39
196204,-7.26,-7.17,-5.98,-6.64,-6.31
196205,-10.02,-9.94,-10.76,-9.42,-7.97
196206,-7.41,-7.66,-7.65,-8.94,-8.22
196207,7.37,7.14,5.64,5.88,6.68
196208,2.75,3.34,2.72,2.61,2.22
196209,-7.06,-7.29,-6.38,-5.23,-4.72
196210,-4.24,-3.3,-1.9,-1.27,0.94
196211,14.39,14.87,13.35,13.12,10.6
196212,-2.21,-2.37,-1.24,0.61,1.8
196301,11.05,8.58,7.02,5.94,4.7
