date,Q1,Q2,Q3,Q4,Q5
195002,1.76,1,1.47,1.25,1.08
195003,1.83,1.48,0.88,0.61,-0.76
195004,5.07,2.45,3.88,4.16,5.79
195005,4.65,4.64,4.51,4.93,2.18
195006,-5.71,-5.49,-6.39,-4.84,-8.09
195007,-3.51,-0.58,6.15,10.42,13.87
195008,6.39,3.89,4.9,3.25,3.23
195009,5.31,4.65,4.68,4.41,4.46
195010,0.05,-0.39,-0.91,-0.52,2.54
195011,2.53,1.94,3.74,4.13,4.41
195012,3.28,4.88,6.63,9.43,11.86
195101,4.83,4.62,6.89,6.46,9.98
195102,2.48,1.65,2.33,0.04,-1.45
195103,-0.64,-1.38,-3.19,-4.43,-5.21
195104,4.44,3.19,7.68,5.71,7.08
195105,-2.28,-1.76,-2.1,-2.43,-4.12
195106,-2.09,-2.23,0.2,-4.56,-7.45
195107,6.91,5.77,6.75,8.54,9.36
195108,3.72,5.48,4.5,5.46,3.5
195109,0.53,1.2,0.07,0.89,3.44
195110,-3.99,-2.58,0.03,-0.67,-3.89
195111,0.56,1.55,0.36,-0.1,2.03
195112,4.55,2.73,3.99,1.39,1.04
195201,-0.04,2.02,2.48,4.32,2.22
195202,-2.12,-2.13,-3.29,-2.92,-2.14
195203,4.37,4.74,4,5.5,6.73
195204,-4.81,-4.18,-4.58,-6.46,-4.38
195205,4.03,2.77,2.71,3.29,3.13
195206,3.83,4.26,4.06,3.44,5.1
195207,1.03,1.49,0.34,2.16,0.99
195208,-0.75,-0.69,0.04,-0.76,-1.07
195209,-1.88,-1.49,-1.74,-2.37,-2.25
195210,-0.73,-0.12,-0.48,-1.09,-0.2
195211,6.21,6.08,4.73,6.69,7.37
195212,3.09,3.15,2.97,2.44,3.96
195301,-0.82,-0.46,0.26,2.1,1.59
195302,-0.44,0.34,0.15,0.31,-0.71
195303,-1.22,-1.21,-1.19,-2.44,-2.44
195304,-2.99,-2.88,-2.18,-1.93,-1.74
195305,1.12,-0.07,0.71,0.15,2.12
195306,-1.64,-2.12,-0.88,-2.93,-2.15
195307,2.74,2.8,2.41,1.62,1.54
195308,-3.62,-3.81,-4.92,-6.36,-8.74
195309,1.09,0.72,-0.74,-1.25,-2.26
195310,5.03,4.08,5.32,5.04,3.49
195311,3.8,2.22,2.16,2.14,2.57
195312,0.81,0.27,0.47,-1.25,-4.26
195401,3.77,5.28,7.31,7.78,8.28
195402,1.7,1.86,2.16,0.67,1.39
195403,4.4,3.28,4.59,2.04,1.35
195404,5.15,4.07,4.65,3.56,0.56
195405,2.81,2.47,2.8,6.2,6.73
195406,2.8,-0.4,-0.86,1.71,0.2
195407,3.91,5.25,5.69,7.04,8.55
195408,-3.14,-1.21,-1.21,-3.19,-3.01
195409,6.95,5.84,8.1,6.52,4.21
195410,-2.27,-1.43,-1.31,0.02,-0.23
195411,10,7.41,9.4,12.82,12.75
195412,3.99,4.54,7.81,9.55,14.11
195501,-0.06,1.52,-0.59,2.37,1.85
195502,2.97,2.77,3.38,3.32,4.67
195503,-0.19,-0.43,-0.44,0.81,2.3
195504,4.59,1.93,2.02,4.02,2.58
195505,2.25,0.19,0.47,-0.2,0.82
195506,6.91,5.75,8.96,9.11,2.89
195507,2.09,3.48,1.36,-0.44,0.67
195508,0.77,-0.17,-0.61,2.05,1.08
195509,0.13,-0.71,0.27,-0.07,-2.27
195510,-3.42,-1.59,-1.23,-2.7,-2.99
195511,8.1,7.6,4.19,6.76,8.93
195512,1.79,2.11,2.17,0.11,-0.4
195601,-4.42,-1.51,-0.95,-1.86,-3.02
195602,5.17,3.42,2.51,3.73,3.18
195603,6.78,8.99,5.36,5.2,6.52
195604,-0.63,1.28,1.81,1.14,0.65
195605,-4.61,-5.44,-4.62,-5.93,-6.68
195606,5.19,1.99,3.44,2.94,1.49
195607,4.53,7.1,5.05,4.84,3.12
195608,-3.26,-4.19,-1.83,-2.34,-3.85
195609,-6.1,-4.55,-3.17,-4.11,-3.19
195610,0.65,0.84,0.72,1.1,0.95
195611,-0.43,0.51,2.04,3.76,0.32
195612,3.47,4.29,3.64,1.93,1.74
195701,-4.54,-3.62,-1.79,-2.65,-0.14
195702,-1.55,-1.39,-1.99,-3.61,-3.06
195703,2.61,2.17,2.46,1.42,1.93
195704,5.45,4.72,3.23,3.82,1.75
195705,4.86,3.06,2.69,2.03,2.18
195706,0.3,-1.97,-0.84,-1.76,0.48
195707,1.3,1.13,0.07,1.33,0.98
195708,-5.61,-4.55,-2.75,-5.51,-5.06
195709,-6.47,-5.52,-3.94,-5.45,-7
195710,-3.94,-3.08,-3.49,-6.07,-8.26
195711,3,2.97,1.87,1.39,-0.84
195712,-3.86,-3.59,-1.56,-7.05,-5.99
195801,3.23,5.17,5.95,9.94,12.41
195802,-2.02,-0.6,-0.46,-2.23,-1.79
195803,3.5,3.03,3.77,2.62,2.71
195804,3.17,3.11,2.84,2.71,5.65
195805,1.85,3.19,2.25,3.37,4.22
195806,3.02,3,3,2.49,3.71
195807,4.97,2.21,5.71,5.84,8.38
195808,1.92,1.22,2.78,2.13,2.99
195809,4.71,4.71,4.21,5.04,9.48
195810,2.51,2.79,3.43,2.75,4.2
195811,3.44,2.75,2.05,3.47,3.92
195812,5.03,6.87,5.18,3.33,3.76
195901,-0.85,1.71,2.95,3.95,4.51
195902,1.13,0.89,0.27,2.4,1.56
195903,0.57,0.95,-1.19,1.09,0.44
195904,5.65,2.09,1.94,3.61,3.16
195905,3,0.23,2.34,1.12,3.13
195906,-0.27,-0.85,2.21,0.16,2.42
195907,4.09,3.28,2.09,3.38,2.52
195908,-1.46,-1.18,-0.24,-2.56,-0.18
195909,-4.74,-4.73,-3.01,-5.61,-4.51
195910,1.35,2.08,1.65,1.01,-0.35
195911,4.15,-0.07,-0.1,-0.46,0.3
195912,3.05,2.66,2.44,3.56,3.57
196001,-8.85,-6.36,-2.63,-5.39,-4.86
196002,2.22,-0.87,4.12,-1.06,-0.99
196003,-0.44,-1.52,-1.31,-3.2,-6.29
196004,-0.92,-2.41,-1.68,-2.28,-3.33
196005,5.2,1.92,1.62,-0.16,0.59
196006,2.38,2.72,1.54,3.03,2.15
196007,-4.02,-1.33,0.09,-0.61,-1.36
196008,2.67,2.84,4.87,4.09,2.49
196009,-7.08,-4.57,-4.77,-5.45,-5.23
196010,-1.12,-0.08,0.36,-0.55,0.25
196011,5.51,4.21,4.19,4.6,4.11
196012,3.52,4.95,8.38,3.56,2.92
196101,4.38,7.68,7.28,8.98,10.59
196102,3.92,3.88,2.34,4.75,3.56
196103,2.42,2.75,4.29,3.41,2.87
196104,-0.61,0.52,1.73,0.56,3.16
196105,3.07,3.02,0.85,4.41,2.79
196106,-1.75,-4.19,-2.85,-3.49,-3.59
196107,1.66,4.77,3.58,1.33,1.57
196108,4.14,2.22,1.09,1.46,2.67
196109,-0.89,-1.92,-3.37,-4.26,-2.05
196110,3.27,1.67,3.98,3.55,0.62
196111,3.61,6.41,4.18,3.79,3.88
196112,-1.57,0.58,1.9,2.23,-0.17
